City,Population,Lat,Lon
Amsterdam,740400,52.37,4.89
Rotterdam,601600,51.93,4.48
sgravenhage,469000,52.08,4.28
Utrecht,264700,52.1,5.11
Eindhoven,207800,51.44,5.47
Tilburg,201800,51.57,5.07
Groningen,177700,53.23,6.57
Almere,174300,52.36,5.17
Breda,166200,51.58,4.77
Nijmegen,157000,51.84,5.85
Apeldoorn,156700,52.22,5.96
Enschede,153000,52.22,6.89
Haarlem,148000,52.39,4.62
Arnhem,143100,51.99,5.91
Zaanstad,140300,52.45,4.82
Amersfoort,134800,52.16,5.38
shertogenbosch,134000,51.7,5.31
Haarlemmermeer,126100,52.3,4.7
Maastricht,121900,50.85,5.69
Dordrecht,120900,51.8,4.67
Leiden,117100,52.17,4.49
Zoetermeer,112900,52.07,4.49
Zwolle,112100,52.52,6.09
Emmen,110200,52.79,6.9
Ede,105400,52.04,5.65
Sittardgeleen,97800,51.01,5.86
Delft,97700,52.01,4.36
Heerlen,94000,50.91,6.03
Alkmaar,93400,52.64,4.75
Leeuwarden,91700,53.21,5.79
Venlo,91500,51.38,6.17
Deventer,87100,52.27,6.16
Helmond,85800,51.48,5.65
Hilversum,83600,52.23,5.18
Hengelo,82000,52.27,6.78
Roosendaal,79500,51.54,4.46
Amstelveen,77500,52.32,4.86
Purmerend,77300,52.52,4.94
Spijkenisse,77000,51.85,4.32
Schiedam,76500,51.94,4.37
Vlaardingen,74300,51.92,4.33
Leidschendamvoorburg,74200,52.09,4.39
Almelo,73800,52.36,6.65
Gouda,71800,52.02,4.7
Alphen,71700,52.14,4.66
Lelystad,70700,52.52,5.45
Oss,68700,51.76,5.52
Hoorn,68700,52.65,5.05
Velsen,68100,52.47,4.63
Bergenopzoom,66800,51.5,4.29
Capelle,66100,51.94,4.58
Assen,62800,53.01,6.56
Nieuwegein,62600,52.03,5.08
Veenendaal,62100,52.02,5.55
Zeist,60200,52.1,5.23
Denhelder,59900,52.96,4.75
Hardenberg,58000,52.57,6.61
Smallingerland,54700,53.11,6.09
Oosterhout,53600,51.65,4.86
Hoogeveen,53500,52.73,6.49
Doetinchem,50300,51.97,6.28
Barneveld,50200,52.14,5.57
Kerkrade,49900,50.87,6.06
Weert,49100,51.26,5.7
Kampen,49000,52.56,5.91
Heerhugowaard,48600,52.67,4.85
Rijswijk,48500,52.05,4.36
Woerden,48200,52.09,4.91
Middelburg,46600,51.5,3.61
Waalwijk,45900,51.7,5.07
Roermond,45900,51.2,5.99
Noordoostpolder,45900,52.72,5.76
Ridderkerk,45900,51.87,4.59
Vlissingen,45500,51.46,3.57
Soest,45400,52.18,5.29
Rheden,45200,52.01,6.01
Heusden,43700,51.69,5.16
Veldhoven,43100,51.39,5.38
Heerenveen,42800,52.96,5.92
Debilt,42800,52.12,5.17
Steenwijk,42500,52.79,6.1
Huizen,42500,52.3,5.23
Bemmel,42500,51.9,5.9
Katwijk,41900,52.21,4.4
Tiel,41800,51.91,5.43
Zwijndrecht,41400,51.82,4.64
Harderwijk,41200,52.35,5.63
Uden,40600,51.67,5.61
Houten,40400,52.04,5.16
Ettenleur,40000,51.58,4.62
Hellevoetsluis,40000,51.84,4.13
Wijchen,39800,51.82,5.73
Maarsen,39800,52.15,5.04
